Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.431896686553955,6.44662317438684,6.382908442941151,6.414465259906861,493729600
2010-01-05,6.443016529083252,6.4793821235584055,6.409054923226288,6.449628601266614,601904800
2010-01-06,6.340530872344971,6.46856180575513,6.333918801147596,6.443015568304612,552160000
2010-01-07,6.32880973815918,6.371487255475944,6.282826987429116,6.363973537415483,477131200
2010-01-08,6.37088680267334,6.371488301483577,6.283129370186581,6.320395812817892,447610800
2010-01-11,6.314685344696045,6.401541520525446,6.264795057785504,6.395530545893654,462229600
2010-01-12,6.242856502532959,6.304468204800475,6.203786361825267,6.287035972907079,594459600
2010-01-13,6.330914497375488,6.339329862823668,6.134060272108536,6.247364749292684,605892000
2010-01-14,6.294247627258301,6.325203743359952,6.281925531320086,6.314684939695618,432894000
2010-01-15,6.189059257507324,6.359466801011032,6.187255964862835,6.339330033147573,594067600
2010-01-19,6.462850570678711,6.467358800755475,6.228428625685768,6.261187227110497,730007600
2010-01-20,6.363372802734375,6.4781792038703365,6.296351641840547,6.458944487018593,612152800
2010-01-21,6.253373622894287,6.410857943534868,6.227527235262426,6.373891654424182,608154400
2010-01-22,5.943214416503906,6.2362425727079485,5.92548284602539,6.2146038691929455,881767600
2010-01-25,6.103104591369629,6.15209243870075,6.016548546840464,6.086274260524146,1065699600
2010-01-26,6.18936014175415,6.422881335405289,6.088378155789723,6.189660690544523,1867110000
2010-01-27,6.247666358947754,6.328812137159952,5.996713297068528,6.216710230071072,1722568400
2010-01-28,5.989499568939209,6.176136353810272,5.971767992962594,6.15900587541027,1173502400
2010-01-29,5.772207260131836,6.076956870273054,5.717809140329178,6.043296212897563,1245952400
2010-02-01,5.852450370788574,5.890619250277496,5.749364582060709,5.7815224880028415,749876400
2010-02-02,5.886414051055908,5.900239296043534,5.811879953978168,5.887917196343063,698342400
2010-02-03,5.987695217132568,6.016848043175157,5.843134485660221,5.865675239529576,615328000
2010-02-04,5.77190637588501,5.961848345925049,5.757480037765541,5.912559159883469,757652000
2010-02-05,5.874390125274658,5.8906197552422475,5.735840383276953,5.789337249896124,850306800
2010-02-08,5.834118366241455,5.947122281921054,5.830511781455936,5.881303714651996,478270800
2010-02-09,5.896329402923584,5.9357000740375945,5.853051197917973,5.903241620916673,632886800
2010-02-10,5.864172458648682,5.908653269901558,5.838326070123361,5.88731390857484,370361600
2010-02-11,5.970865726470947,6.003324593151563,5.83231595027397,5.8569605487450405,550345600
2010-02-12,6.02225923538208,6.0601275817459035,5.875594630739147,5.9540358614069895,655468800
2010-02-16,6.113020420074463,6.121735930399052,6.056518472869347,6.06914111597619,543737600
2010-02-17,6.08747673034668,6.140371710818135,6.036684387545308,6.136765125440518,436396800
2010-02-18,6.0988945960998535,6.127746867515459,6.038485516471274,6.059823669775971,422825200
2010-02-19,6.061025619506836,6.107008759158151,6.044195296836604,6.066736444966215,415469600
2010-02-22,6.023460865020752,6.085973810076043,5.986494567334306,6.081165430661595,390563600
2010-02-23,5.92248010635376,6.050811658525712,5.881907214743551,6.0108394633584625,575094800
2010-02-24,6.030673027038574,6.054115024844004,5.945919491152342,5.9576408913217085,460566400
2010-02-25,6.07094669342041,6.096793086715012,5.917369873796067,5.93209636317556,665126000
2010-02-26,6.149688243865967,6.166218025370562,6.070946470452576,6.082366922736945,507460800
2010-03-01,6.281025409698486,6.29635259423419,6.174633152846355,6.183649214561482,550093600
2010-03-02,6.276815414428711,6.336322443118033,6.243454914953514,6.30927346540479,566546400
2010-03-03,6.29124116897583,6.307470797970597,6.24946650681497,6.2795205727905925,372052800
2010-03-04,6.33271598815918,6.339027510449531,6.270203066416434,6.289739131915072,366041200
2010-03-05,6.580363750457764,6.602904503194715,6.450529512263567,6.459846522585055,899620400
2010-03-08,6.584270477294922,6.614624692345705,6.559325336337739,6.612220704000396,429889600
2010-03-09,6.7026872634887695,6.762194331562368,6.5485093126615,6.561131963273047,920259200
2010-03-10,6.757383346557617,6.7766184669575535,6.708094955599568,6.727029125976559,596218000
2010-03-11,6.777218341827393,6.777218341827393,6.71170072335993,6.729433098879419,405700400
2010-03-12,6.810277938842773,6.844238738583193,6.7847317002782,6.83341898524292,416323600
2010-03-15,6.727329730987549,6.777218818608577,6.619434732925409,6.773613036036831,493502800
2010-03-16,6.74566125869751,6.761589938943758,6.687356414452742,6.737546844853807,446908000
2010-03-17,6.735743999481201,6.8057698467089285,6.710198160157494,6.7591859977108,450956800
2010-03-18,6.751673698425293,6.762192504214614,6.690362952527392,6.73514311464194,342109600
2010-03-19,6.679542064666748,6.769404120841071,6.648886498121467,6.7558798304259735,559445600
2010-03-22,6.754678249359131,6.792246439510847,6.616429043072803,6.626046602475909,456419600
2010-03-23,6.863174915313721,6.875797964573612,6.735143537563871,6.781427248983313,602431200
2010-03-24,6.893527984619141,6.918473125997129,6.837626727731931,6.841534262183864,597780400
2010-03-25,6.81178092956543,6.941615574408979,6.799758980265102,6.940112429479772,542284400
2010-03-26,6.939512729644775,6.971069145464255,6.868884975248674,6.880906925579943,640875200
2010-03-29,6.984292030334473,7.0287724411101795,6.961150981264242,7.002625904654202,540744400
2010-03-30,7.0882792472839355,7.137268288753161,7.040192253266694,7.110820000650351,527310000
2010-03-31,7.062733173370361,7.111121118525049,7.046504344184736,7.077460462678314,430659600
2010-04-01,7.091886043548584,7.174835087472389,6.995111757704138,7.13516425920159,603145200
2010-04-05,7.167623519897461,7.168224617439328,7.055821784710631,7.062133710166944,684507600
2010-04-06,7.199180603027344,7.220218214060196,7.122842821725138,7.158907871019614,447017200
2010-04-07,7.23103666305542,7.270708290364544,7.1727310156688056,7.199479449674695,628502000
2010-04-08,7.21150016784668,7.259286200932017,7.154096577652403,7.226226650903175,572989200
2010-04-09,7.26680326461792,7.2698095552983455,7.226831476064805,7.255984309822719,334182800
2010-04-12,7.281826019287109,7.305268009213589,7.26739968546587,7.27912068042911,333026400
2010-04-13,7.28603458404541,7.297155286873386,7.246362959386729,7.26890451246692,306210800
2010-04-14,7.384014129638672,7.387620715041219,7.335326831771208,7.371692030780033,404076400
2010-04-15,7.481088161468506,7.484393796282175,7.378603049311384,7.386717463878272,376784800
2010-04-16,7.435403823852539,7.547806616793479,7.3497494607896625,7.470566813804754,750545600
2010-04-19,7.425487518310547,7.4501317109137055,7.266199906220293,7.424285323425841,566924400
2010-04-20,7.350953102111816,7.491005597220147,7.301964863949601,7.469667039104502,738326400
2010-04-21,7.790642738342285,7.821598843239226,7.685753282043311,7.77801969699409,982391200
2010-04-22,8.00854206085205,8.01695742889777,7.699885204425619,7.761196369082187,793424800
2010-04-23,8.139575004577637,8.180147881017373,8.024467645060442,8.054220766769573,796955600
2010-04-26,8.099604606628418,8.188564641981264,8.06023311591244,8.171133614476606,479068800
2010-04-27,7.875397205352783,8.049711430730106,7.829715410104387,8.032580556878655,709343600
2010-04-28,7.8621721267700195,7.934301387924771,7.706191004488472,7.911761445238741,758402400
2010-04-29,8.073758125305176,8.11463115574628,7.87449869113748,7.904852915177807,558840800
2010-04-30,7.846848487854004,8.131761499671985,7.844143950184465,8.093893157097845,542463600
2010-05-03,8.004931449890137,8.050915000896731,7.900643054662451,7.929495730598593,454342000
2010-05-04,7.774414539337158,7.912964662104111,7.716410654552522,7.900943518291655,723819600
2010-05-05,7.693570613861084,7.758187385588809,7.475377055883718,7.604610599339169,883103200
2010-05-06,7.40084171295166,7.761491271905939,5.9882947313037,7.628651976226901,1285860800
2010-05-07,7.088580131530762,7.4104610316140755,6.768503326538932,7.324506493945816,1676018400
2010-05-10,7.6334614753723145,7.653297690605477,7.469365889291675,7.521059465850873,984306400
2010-05-11,7.709502696990967,7.810784842055755,7.528576317174434,7.5688482546204225,848906800
2010-05-12,7.876901149749756,7.908157413763119,7.775017943622853,7.79124596926319,654379600
2010-05-13,7.764798641204834,7.964358157353046,7.705891900147516,7.91086129274792,599712400
2010-05-14,7.628353118896484,7.7082974781718505,7.498519274158555,7.6686258472722955,759362800
2010-05-17,7.64037561416626,7.6992823685136615,7.444722785603016,7.654801954626865,762834800
2010-05-18,7.584475040435791,7.7705103060057965,7.5213606043653565,7.723325355230642,782678400
2010-05-19,7.463656425476074,7.601304537449724,7.358767724702273,7.498519276576824,1025726800
2010-05-20,7.145686626434326,7.3287164642794504,7.099101955408979,7.269508741407191,1282915200
2010-05-21,7.282731533050537,7.348249558609652,6.953036360104464,6.997215824662203,1223891200
2010-05-24,7.416170597076416,7.540595368271015,7.401143962557275,7.431799131611012,754238800
2010-05-25,7.369887828826904,7.4161707307159,7.127651156909051,7.193469326051639,1048006400
2010-05-26,7.336527347564697,7.577562627960775,7.32570759265015,7.5159513384974375,850654000
2010-05-27,7.61422872543335,7.630458359415145,7.4867992539323165,7.531579817970798,666282400
2010-05-28,7.72031831741333,7.796054983462973,7.614226634444881,7.795754836034683,815614800
2010-06-01,7.8390350341796875,7.992611860558833,7.782833612021344,7.804773273294582,876472800
2010-06-02,7.932804107666016,7.958349550265208,7.824007053949681,7.950535281954808,688548000
2010-06-03,7.907858371734619,7.980889713791403,7.826410861897817,7.969769008448815,650106800
2010-06-04,7.692667484283447,7.871188567037065,7.652695717666188,7.760288924144717,758304400
2010-06-07,7.5417985916137695,7.788543122660981,7.530076787847794,7.762696729939701,886942000
2010-06-08,7.493408203125,7.62775064176816,7.382808706734782,7.610919917248008,1000770400
2010-06-09,7.309178352355957,7.570650966892354,7.287840593499407,7.557726968523696,854630000
2010-06-10,7.52887487411499,7.54299946209261,7.279124070001396,7.358467337898861,776356000
